    （000001）华夏成长 | 基金吧 | 档案
    （002065）景顺长城景盛双息收益债券A | 基金吧 | 档案
    （002066）景顺长城景盛双息收益债券C | 基金吧 | 档案
    （002067）诺安精选回报混合 | 基金吧 | 档案
    （002068）东方多策略灵活配置混合C | 基金吧 | 档案
    （002069）华泰柏瑞盛利混合A | 基金吧 | 档案
    （002070）华泰柏瑞盛利混合C | 基金吧 | 档案
    （002071）长安产业精选混合C | 基金吧 | 档案
    （002072）长安鑫利优选混合C | 基金吧 | 档案
    （002073）圆信永丰兴融A | 基金吧 | 档案
    （002074）圆信永丰兴融C | 基金吧 | 档案
    （002075）光大睿鑫混合C | 基金吧 | 档案
    （002076）浙商聚潮灵活配置 | 基金吧 | 档案
    （002077）浙商日添利A | 基金吧 | 档案
    （002078）浙商日添利B | 基金吧 | 档案
    （002079）前海开源中国稀缺资产混合C | 基金吧 | 档案
    （002080）前海开源一带一路混合C | 基金吧 | 档案
    （002081）大成景沛灵活配置混合A | 基金吧 | 档案
    （002082）华泰柏瑞激励动力混合C | 基金吧 | 档案
    （002083）新华鑫动力灵活配置混合A | 基金吧 | 档案
    （002084）新华鑫动力灵活配置混合C | 基金吧 | 档案
    （002085）长盛互联网+混合 | 基金吧 | 档案
    （002086）大成景安短融债券E | 基金吧 | 档案
    （002087）国富新机遇混合A | 基金吧 | 档案
    （002088）国富新机遇混合C | 基金吧 | 档案
    （002089）长盛盛鑫混合A | 基金吧 | 档案
    （002090）长盛盛鑫混合C | 基金吧 | 档案
    （002091）华泰柏瑞新利混合C | 基金吧 | 档案
    （002092）国富新增长混合A | 基金吧 | 档案
    （002093）国富新增长混合C | 基金吧 | 档案
    （002094）华泰柏瑞制造2025混合C | 基金吧 | 档案
    （002095）博时新收益A | 基金吧 | 档案
    （002096）博时新收益C | 基金吧 | 档案
    （002097）国富新价值混合A | 基金吧 | 档案
    （002098）国富新价值混合C | 基金吧 | 档案
    （002099）国富新活力混合A | 基金吧 | 档案
    （002100）国富新活力混合C | 基金吧 | 档案
    （002101）创金合信鑫优选混合A | 基金吧 | 档案
    （002102）创金合信鑫优选混合C | 基金吧 | 档案
    （002103）招商康泰养老混合 | 基金吧 | 档案
    （002104）博时新价值A | 基金吧 | 档案
    （002105）博时新价值C | 基金吧 | 档案
    （002106）德邦福鑫灵活配置混合C | 基金吧 | 档案
    （002107）广发安富回报混合A | 基金吧 | 档案
    （002108）广发安富回报混合C | 基金吧 | 档案
    （002109）博时裕丰纯债债券 | 基金吧 | 档案
    （002110）中海中鑫灵活配置混合 | 基金吧 | 档案
    （002111）华宝兴业新起点混合 | 基金吧 | 档案
    （002112）德邦鑫星价值灵活配置混合C | 基金吧 | 档案
    （002113）德邦纯债债券C | 基金吧 | 档案
    （002114）国富新收益混合A | 基金吧 | 档案
    （002115）国富新收益混合C | 基金吧 | 档案
    （002116）广发安享混合A | 基金吧 | 档案
    （002117）广发安享混合C | 基金吧 | 档案
    （002118）广发安盈混合A | 基金吧 | 档案
    （002119）广发安盈混合C | 基金吧 | 档案
    （002120）广发安悦混合 | 基金吧 | 档案
    （002121）广发沪港深新起点股票 | 基金吧 | 档案
    （002122）广发新常态混合 | 基金吧 | 档案
    （002123）北信瑞丰外延增长 | 基金吧 | 档案
    （002124）广发新兴产业混合 | 基金吧 | 档案
    （002126）广发鑫富混合A | 基金吧 | 档案
    （002127）广发鑫富混合C | 基金吧 | 档案
    （002128）广发鑫惠混合 | 基金吧 | 档案
    （002129）广发鑫利混合 | 基金吧 | 档案
    （002130）广发鑫隆混合A | 基金吧 | 档案
    （002131）广发鑫隆混合C | 基金吧 | 档案
    （002132）广发鑫享混合 | 基金吧 | 档案
    （002133）广发鑫益混合 | 基金吧 | 档案
    （002134）广发鑫裕混合 | 基金吧 | 档案
    （002135）广发鑫源混合A | 基金吧 | 档案
    （002136）广发鑫源混合C | 基金吧 | 档案
    （002137）诺安利鑫保本混合 | 基金吧 | 档案
    （002138）泓德裕泰债券A | 基金吧 | 档案
    （002139）泓德裕泰债券C | 基金吧 | 档案
    （002140）博时裕诚纯债债券 | 基金吧 | 档案
    （002141）建信鑫丰回报灵活配置混合C | 基金吧 | 档案
    （002142）博时外延增长主题灵活配置混合 | 基金吧 | 档案
    （002143）博时裕坤纯债 | 基金吧 | 档案
    （002144）华安新优选灵活配置混合C | 基金吧 | 档案
    （002145）诺安景鑫保本混合 | 基金吧 | 档案
    （002146）长安鑫益增强混合A | 基金吧 | 档案
    （002147）长安鑫益增强混合C | 基金吧 | 档案
    （002148）国寿安保稳健增利混合 | 基金吧 | 档案
    （002149）嘉实新优选混合 | 基金吧 | 档案
    （002150）博时裕和纯债 | 基金吧 | 档案
    （002152）华宝核心优势混合 | 基金吧 | 档案
    （002153）华安安润灵活配置混合A | 基金吧 | 档案
    （002154）华安安润灵活配置混合C | 基金吧 | 档案
    （002156）长盛盛世混合A | 基金吧 | 档案
    （002157）长盛盛世混合C | 基金吧 | 档案
    （002158）汇添富安鑫智选混合C | 基金吧 | 档案
    （002159）东吴国企改革 | 基金吧 | 档案
    （002160）南方驱动混合 | 基金吧 | 档案
    （002162）东方新价值混合C | 基金吧 | 档案
    （002163）东方惠新灵活配置混合C | 基金吧 | 档案
    （002164）汇添富新睿精选混合C | 基金吧 | 档案
    （002165）汇添富达欣混合C | 基金吧 | 档案
    （002166）华夏永福养老理财混合C | 基金吧 | 档案
    （002167）南方顺康 | 基金吧 | 档案
    （002168）嘉实智能汽车股票 | 基金吧 | 档案
    （002169）永赢稳益债券 | 基金吧 | 档案
    （002170）东吴移动互联C | 基金吧 | 档案
    （002172）海富通新内需混合C | 基金吧 | 档案
    （002173）东方大健康混合 | 基金吧 | 档案
    （002174）东方互联网嘉混合 | 基金吧 | 档案
    （002175）博时裕乾纯债A | 基金吧 | 档案
    （002178）嘉实新起点混合C | 基金吧 | 档案
    （002179）华安事件驱动量化策略混合 | 基金吧 | 档案
    （002182）东兴蓝海财富混合 | 基金吧 | 档案
    （002183）广发天天红货币B | 基金吧 | 档案
    （002184）泓德泓利货币A | 基金吧 | 档案
    （002185）泓德泓利货币B | 基金吧 | 档案
    （002186）国联安鑫享灵活配置混合C | 基金吧 | 档案
    （002187）国联安鑫富混合C | 基金吧 | 档案
    （002188）鹏华丰华债券 | 基金吧 | 档案
    （002189）农银汇理国企改革混合 | 基金吧 | 档案
    （002190）农银新能源主题 | 基金吧 | 档案
    （002191）农银物联网混合 | 基金吧 | 档案
    （002192）东方鼎新灵活配置混合C | 基金吧 | 档案
    （002193）东方利群混合C | 基金吧 | 档案
    （002194）北信瑞丰稳定增强偏债混合 | 基金吧 | 档案
    （002195）中银机构现金管理货币 | 基金吧 | 档案
    （002196）金鹰技术领先灵活配置混合C | 基金吧 | 档案
    （002197）国泰鑫保本混合 | 基金吧 | 档案
    （002198）博时裕达纯债债券 | 基金吧 | 档案
    （002199）前海开源中证军工指数C | 基金吧 | 档案
    （002200）大成慧成货币A | 基金吧 | 档案
    （002201）大成慧成货币B | 基金吧 | 档案
    （002202）大成慧成货币E | 基金吧 | 档案
    （002203）国泰睿信平衡混合 | 基金吧 | 档案
    （002206）博时裕康纯债债券 | 基金吧 | 档案
    （002207）前海开源金银珠宝混合C | 基金吧 | 档案
    （002208）博时境源保本A | 基金吧 | 档案
    （002209）博时境源保本C | 基金吧 | 档案
    （002210）创金合信量化多因子股票A | 基金吧 | 档案
    （002211）嘉实新财富混合 | 基金吧 | 档案
    （002212）嘉实新起航混合 | 基金吧 | 档案
    （002213）中海顺鑫保本混合 | 基金吧 | 档案
    （002214）中海沪港深价值优选混合 | 基金吧 | 档案
    （002215）招商招益一年定开债 | 基金吧 | 档案
    （002218）南方弘利A | 基金吧 | 档案
    （002219）南方弘利C | 基金吧 | 档案
    （002220）南方瑞利保本 | 基金吧 | 档案
    （002221）嘉实价值增强混合 | 基金吧 | 档案
    （002222）嘉实新趋势混合 | 基金吧 | 档案
    （002223）中邮尊享一年定开混合 | 基金吧 | 档案
    （002224）中邮绝对收益策略定期开放混 | 基金吧 | 档案
    （002225）长城新视野混合A | 基金吧 | 档案
    （002226）长城新视野混合C | 基金吧 | 档案
    （002227）长城新优选混合A | 基金吧 | 档案
    （002228）长城新优选混合C | 基金吧 | 档案
    （002229）华夏经济转型股票 | 基金吧 | 档案
    （002230）华夏大中华混合(QDII) | 基金吧 | 档案
    （002231）华夏新趋势混合A | 基金吧 | 档案
    （002232）华夏新趋势混合C | 基金吧 | 档案
    （002233）工银丰收回报灵活配置混合C | 基金吧 | 档案
    （002234）泰信天天收益货币B | 基金吧 | 档案
    （002235）泰信天天收益货币E | 基金吧 | 档案
    （002236）大成360互联网+大数据1 | 基金吧 | 档案
    （002237）大成景沛灵活配置混合C | 基金吧 | 档案
    （002238）华安乐惠保本混合A | 基金吧 | 档案
    （002239）华安乐惠保本混合C | 基金吧 | 档案
    （002240）德邦增利货币A | 基金吧 | 档案
    （002241）德邦增利货币B | 基金吧 | 档案
    （002242）国投瑞银瑞兴保本混合 | 基金吧 | 档案
    （002243）东方金证通货币 | 基金吧 | 档案
    （002244）景顺长城低碳科技主题混合 | 基金吧 | 档案
    （002245）泰康稳健增利债券A | 基金吧 | 档案
    （002246）泰康稳健增利债券C | 基金吧 | 档案
    （002247）新疆前海联合海盈货币A | 基金吧 | 档案
    （002248）新疆前海联合海盈货币B | 基金吧 | 档案
    （002249）招商境远保本混合 | 基金吧 | 档案
    （002250）红土创新改革红利混合 | 基金吧 | 档案
    （002251）华夏军工安全混合 | 基金吧 | 档案
    （002252）融通成长30灵活配置混合 | 基金吧 | 档案
    （002254）长信金葵纯债A | 基金吧 | 档案
    （002255）长信金葵纯债C | 基金吧 | 档案
    （002256）金信新能源汽车混合发起式 | 基金吧 | 档案
    （002259）鹏华健康环保混合 | 基金吧 | 档案
    （002260）中信建投添鑫宝 | 基金吧 | 档案
    （002261）中银宝利混合A | 基金吧 | 档案
    （002262）中银宝利混合C | 基金吧 | 档案
    （002263）泰达宏利大数据混合A | 基金吧 | 档案
    （002264）华夏乐享健康混合 | 基金吧 | 档案
    （002265）鑫元兴利债券 | 基金吧 | 档案
    （002266）博时安和18个月定开债A | 基金吧 | 档案
    （002267）博时安和18个月定开债C | 基金吧 | 档案
    （002268）兴业丰利债券 | 基金吧 | 档案
    （002269）银华大数据灵活配置定开混合 | 基金吧 | 档案
    （002270）东吴安盈量化灵活配置混合 | 基金吧 | 档案
    （002271）招商安弘保本混合 | 基金吧 | 档案
    （002272）新华科技创新主题灵活配置混合 | 基金吧 | 档案
    （002273）泰达宏利创益混合B | 基金吧 | 档案
    （002274）中邮纯债聚利债券A | 基金吧 | 档案
    （002275）中邮纯债聚利债券C | 基金吧 | 档案
    （002278）中邮稳健合赢债券 | 基金吧 | 档案
    （002279）浙商惠盈纯债 | 基金吧 | 档案
    （002280）华富安享保本混合 | 基金吧 | 档案
    （002281）建信安心保本三号混合 | 基金吧 | 档案
    （002282）平安大华安享保本混合 | 基金吧 | 档案
    （002283）长盛同裕纯债A | 基金吧 | 档案
    （002284）长盛同裕纯债C | 基金吧 | 档案
    （002285）长盛同裕纯债E | 基金吧 | 档案
    （002286）中银美元债债券人民币 | 基金吧 | 档案
    （002287）中银美元债债券美元 | 基金吧 | 档案
    （002288）中银稳进保本 | 基金吧 | 档案
    （002290）大成景辉灵活配置混合C | 基金吧 | 档案
    （002291）诺安安鑫保本混合 | 基金吧 | 档案
    （002292）诺安益鑫保本 | 基金吧 | 档案
    （002293）南方益和保本 | 基金吧 | 档案
    （002294）博时新机遇混合C | 基金吧 | 档案
    （002295）广发稳安保本 | 基金吧 | 档案
    （002296）长城久安保本 | 基金吧 | 档案
    （002297）方正富邦优选灵活配置混合C | 基金吧 | 档案
    （002300）长盛医疗行业量化配置股票 | 基金吧 | 档案
    （002301）兴业聚盛灵活配置混合A | 基金吧 | 档案
    （002302）新沃通宝B | 基金吧 | 档案
    （002303）金鹰智慧生活混合 | 基金吧 | 档案
    （002304）平安大华安心保本混合 | 基金吧 | 档案
    （002305）光大风格轮动混合 | 基金吧 | 档案
    （002306）银华合利债券 | 基金吧 | 档案
    （002307）银华多元视野灵活配置混合 | 基金吧 | 档案
    （002308）安信安盈保本混合 | 基金吧 | 档案
    （002309）国寿安保稳定回报混合C | 基金吧 | 档案
    （002310）创金合信沪深300指数增强 | 基金吧 | 档案
    （002311）创金合信中证500指数增强 | 基金吧 | 档案
    （002312）国寿安保稳健回报混合C | 基金吧 | 档案
    （002313）泰达宏利新起点混合B | 基金吧 | 档案
    （002314）泰达宏利新思路混合B | 基金吧 | 档案
    （002315）创金合信沪深300指数增强 | 基金吧 | 档案
    （002316）创金合信中证500指数增强 | 基金吧 | 档案
    （002317）招商睿逸混合 | 基金吧 | 档案
    （002318）鹏华添利交易型货币A | 基金吧 | 档案
    （002322）银华汇利灵活配置混合C | 基金吧 | 档案
    （002323）银华稳利灵活配置混合C | 基金吧 | 档案
    （002324）南方日添益A | 基金吧 | 档案
    （002325）南方日添益E | 基金吧 | 档案
    （002326）银华聚利灵活配置混合C | 基金吧 | 档案
    （002327）银华恒利灵活配置混合C | 基金吧 | 档案
    （002328）银华泰利灵活配置混合C | 基金吧 | 档案
    （002330）兴业聚宝灵活配置混合 | 基金吧 | 档案
    （002331）泰康安泰回报混合 | 基金吧 | 档案
    （002332）汇丰晋信沪港深A | 基金吧 | 档案
    （002333）汇丰晋信沪港深C | 基金吧 | 档案
    （002334）汇丰晋信大盘波动股票A | 基金吧 | 档案
    （002335）汇丰晋信大盘波动股票C | 基金吧 | 档案
    （002336）创金合信尊享纯债 | 基金吧 | 档案
    （002337）创金合信尊盈纯债债券 | 基金吧 | 档案
    （002338）兴业保本混合 | 基金吧 | 档案
    （002339）海富通养老收益混合C | 基金吧 | 档案
    （002340）富国价值优势混合 | 基金吧 | 档案
    （002341）招商招瑞纯债发起式A | 基金吧 | 档案
    （002342）融通增益债券A/B | 基金吧 | 档案
    （002344）融通增益债券C | 基金吧 | 档案
    （002345）华夏高端制造混合 | 基金吧 | 档案
    （002346）华夏鼎诚债券A | 基金吧 | 档案
    （002347）华夏鼎诚债券I | 基金吧 | 档案
    （002348）华夏鼎新债券A | 基金吧 | 档案
    （002349）华夏鼎新债券I | 基金吧 | 档案
    （002350）华安安华保本混合 | 基金吧 | 档案
    （002351）易方达裕祥回报债券 | 基金吧 | 档案
    （002354）博时裕腾纯债 | 基金吧 | 档案
    （002355）国投瑞银岁赢利一年债券 | 基金吧 | 档案
    （002356）博时安泰18个月定开债A | 基金吧 | 档案
    （002357）博时安泰18个月定开债C | 基金吧 | 档案
    （002358）国投瑞银瑞祥保本混合 | 基金吧 | 档案
    （002360）前海开源清洁能源混合C | 基金吧 | 档案
    （002361）国富恒瑞债券A | 基金吧 | 档案
    （002362）国富恒瑞债券C | 基金吧 | 档案
    （002363）华安安康保本混合A | 基金吧 | 档案
    （002364）华安安康保本混合C | 基金吧 | 档案
    （002365）国联安鑫禧灵活配置混合A | 基金吧 | 档案
    （002366）国联安鑫禧灵活配置混合C | 基金吧 | 档案
    （002367）国联安安稳保本混合 | 基金吧 | 档案
    （002368）国联安鑫悦灵活配置混合A | 基金吧 | 档案
    （002369）国联安鑫悦灵活配置混合C | 基金吧 | 档案
    （002370）大成景秀灵活配置混合C | 基金吧 | 档案
    （002371）大成景明灵活配置混合C | 基金吧 | 档案
    （002372）大成景穗灵活配置混合C | 基金吧 | 档案
    （002373）大成景源灵活配置混合C | 基金吧 | 档案
    （002374）大成景鹏灵活配置混合C | 基金吧 | 档案
    （002375）大成景裕灵活配置混合C | 基金吧 | 档案
    （002376）国寿安保核心产业混合 | 基金吧 | 档案
    （002377）建信目标收益一年期债券 | 基金吧 | 档案
    （002378）建信安心保本五号混合 | 基金吧 | 档案
    （002379）工银香港中小盘人民币 | 基金吧 | 档案
    （002380）工银香港中小盘美元 | 基金吧 | 档案
    （002381）东海祥瑞A | 基金吧 | 档案
    （002382）东海祥瑞C | 基金吧 | 档案
    （002383）大成趋势回报灵活配置混合 | 基金吧 | 档案
    （002385）博时沪深300指数C | 基金吧 | 档案
    （002387）工银沪港深股票 | 基金吧 | 档案
    （002388）天弘裕利灵活配置混合 | 基金吧 | 档案
    （002389）招商安德保本混合A | 基金吧 | 档案
    （002390）招商安德保本混合C | 基金吧 | 档案
    （002391）华安全球美元收益债人民币A | 基金吧 | 档案
    （002392）华安全球美元收益债美元现汇 | 基金吧 | 档案
    （002393）华安全球美元收益债C | 基金吧 | 档案
    （002395）鹏华丰尚定开债A | 基金吧 | 档案
    （002396）鹏华丰尚定开债B | 基金吧 | 档案
    （002397）中邮增力债券 | 基金吧 | 档案
    （002398）华安安禧保本混合A | 基金吧 | 档案
    （002399）华安安禧保本混合C | 基金吧 | 档案
    （002400）南方亚洲美元债人民币A | 基金吧 | 档案
    （002401）南方亚洲美元债人民币C | 基金吧 | 档案
    （002402）南方亚洲美元债美元现汇A | 基金吧 | 档案
    （002403）南方亚洲美元债美元现汇C | 基金吧 | 档案
    （002404）博时裕乾纯债C | 基金吧 | 档案
    （002407）前海开源恒远保本混合 | 基金吧 | 档案
    （002408）中信建投医改 | 基金吧 | 档案
    （002409）华夏新活力混合A | 基金吧 | 档案
    （002410）华夏新活力混合C | 基金吧 | 档案
    （002411）华夏新机遇混合 | 基金吧 | 档案
    （002412）华富安福保本混合 | 基金吧 | 档案
    （002413）中银瑞利混合A | 基金吧 | 档案
    （002414）中银瑞利混合C | 基金吧 | 档案
    （002415）融通通盈保本混合 | 基金吧 | 档案
    （002416）招商丰利灵活配置混合C | 基金吧 | 档案
    （002417）招商丰盛稳定增长混合C | 基金吧 | 档案
    （002418）汇添富优选回报灵活配置混合 | 基金吧 | 档案
    （002419）汇添富盈安保本混合 | 基金吧 | 档案
    （002420）汇添富盈鑫保本混合 | 基金吧 | 档案
    （002421）新华信用增强A | 基金吧 | 档案
    （002422）新华信用增强C | 基金吧 | 档案
    （002423）华宝标普美国消费美元 | 基金吧 | 档案
    （002425）金鹰保本混合C | 基金吧 | 档案
    （002426）华安全球美元票息债人民币A | 基金吧 | 档案
    （002427）华安全球美元票息债美元现汇 | 基金吧 | 档案
    （002429）华安全球美元票息债C | 基金吧 | 档案
    （002430）中银丰利混合A | 基金吧 | 档案
    （002431）中银丰利混合C | 基金吧 | 档案
    （002432）天弘乐享保本混合 | 基金吧 | 档案
    （002433）天弘金利混合 | 基金吧 | 档案
    （002434）中银宏利混合A | 基金吧 | 档案
    （002435）中银宏利混合C | 基金吧 | 档案
    （002436）上投摩根红利回报混合C | 基金吧 | 档案
    （002437）上投摩根天颐年丰混合C | 基金吧 | 档案
    （002438）创金合信尊盛纯债 | 基金吧 | 档案
    （002440）中加心安保本混合 | 基金吧 | 档案
    （002441）德邦新添利债券C | 基金吧 | 档案
    （002442）鑫元汇利债券 | 基金吧 | 档案
    （002443）前海开源沪港深龙头精选混合 | 基金吧 | 档案
    （002445）兴业丰泰债券 | 基金吧 | 档案
    （002446）广发稳鑫保本 | 基金吧 | 档案
    （002447）博时裕安纯债 | 基金吧 | 档案
    （002448）江信汇福 | 基金吧 | 档案
    （002449）民生加银量化中国混合 | 基金吧 | 档案
    （002450）平安大华睿享文娱混合A | 基金吧 | 档案
    （002451）平安大华睿享文娱混合C | 基金吧 | 档案
    （002452）民生加银和鑫债券 | 基金吧 | 档案
    （002453）九泰久稳保本混合A | 基金吧 | 档案
    （002454）九泰久稳保本混合C | 基金吧 | 档案
    （002455）民生加银鑫喜混合 | 基金吧 | 档案
    （002456）招商安元保本混合A | 基金吧 | 档案
    （002457）招商安元保本混合C | 基金吧 | 档案
    （002458）国泰民利保本混合 | 基金吧 | 档案
    （002459）华夏鼎利债券发起式A | 基金吧 | 档案
    （002460）华夏鼎利债券发起式C | 基金吧 | 档案
    （002461）中银珍利混合A | 基金吧 | 档案
    （002462）中银珍利混合C | 基金吧 | 档案
    （002464）创金合信尊利纯债 | 基金吧 | 档案
    （002465）东兴众智优选混合 | 基金吧 | 档案
    （002466）博时裕新纯债 | 基金吧 | 档案
    （002467）国投瑞银全球债券人民币 | 基金吧 | 档案
    （002468）国投瑞银全球债券美元现汇 | 基金吧 | 档案
    （002469）华泰柏瑞交易货币B | 基金吧 | 档案
    （002470）泰达多元回报债券A | 基金吧 | 档案
    （002471）泰达多元回报债券C | 基金吧 | 档案
    （002474）中邮睿信增强债 | 基金吧 | 档案
    （002476）博时安瑞18个月定开债A | 基金吧 | 档案
    （002477）博时安瑞18个月定开债C | 基金吧 | 档案
    （002478）中欧天添债券A | 基金吧 | 档案
    （002479）中欧天添债券C | 基金吧 | 档案
    （002480）东方荣家保本混合 | 基金吧 | 档案
    （002481）银华双动力债券 | 基金吧 | 档案
    （002482）宝盈互联网沪港深混合 | 基金吧 | 档案
    （002483）富国泰利定开债发起式 | 基金吧 | 档案
    （002485）国联安通盈混合C | 基金吧 | 档案
    （002486）上银慧添利债券 | 基金吧 | 档案
    （002487）汇添富稳添利定开债A | 基金吧 | 档案
    （002488）汇添富稳添利定开债C | 基金吧 | 档案
    （002489）国泰民福保本混合 | 基金吧 | 档案
    （002490）金鹰元祺保本混合 | 基金吧 | 档案
    （002491）银华添益定开债 | 基金吧 | 档案
    （002492）工银月月薪定期支付债券C | 基金吧 | 档案
    （002494）兴业聚盈灵活配置混合 | 基金吧 | 档案
    （002497）东方盛世灵活配置混合 | 基金吧 | 档案
    （002498）兴业聚鑫灵活配置混合 | 基金吧 | 档案
    （002499）德邦纯债9个月定开债A | 基金吧 | 档案
    （002500）德邦纯债9个月定开债C | 基金吧 | 档案
    （002501）银华远景债券 | 基金吧 | 档案
    （002502）中银腾利混合A | 基金吧 | 档案
    （002503）中银腾利混合C | 基金吧 | 档案
    （002504）鹏华金鼎保本混合A | 基金吧 | 档案
    （002505）鹏华金鼎保本混合C | 基金吧 | 档案
    （002506）招商招盈18个月定开债 | 基金吧 | 档案
    （002507）兴业定开债C | 基金吧 | 档案
    （002508）华宝宝鑫债券A | 基金吧 | 档案
    （002509）华宝宝鑫债券C | 基金吧 | 档案
    （002510）申万菱信中证500指数增强 | 基金吧 | 档案
    （002512）长城久润保本 | 基金吧 | 档案
    （002513）金鹰元安保本混合C | 基金吧 | 档案
    （002514）招商丰益混合A | 基金吧 | 档案
    （002515）招商丰益混合C | 基金吧 | 档案
    （002516）招商丰达混合A | 基金吧 | 档案
    （002517）招商丰达混合C | 基金吧 | 档案
    （002518）民生加银鑫福混合 | 基金吧 | 档案
    （002519）博时裕景纯债 | 基金吧 | 档案
    （002520）招商招瑞纯债发起式C | 基金吧 | 档案
    （002521）永赢双利债券A | 基金吧 | 档案
    （002522）永赢双利债券C | 基金吧 | 档案
    （002523）光大恒利纯债 | 基金吧 | 档案
    （002524）兴业福益债券 | 基金吧 | 档案
    （002527）南方安享绝对收益 | 基金吧 | 档案
    （002528）泰康安益纯债A | 基金吧 | 档案
    （002529）泰康安益纯债C | 基金吧 | 档案
    （002530）博时保泽保本A | 基金吧 | 档案
    （002531）博时保泽保本C | 基金吧 | 档案
    （002532）中欧强盈债券 | 基金吧 | 档案
    （002533）中加心享混合C | 基金吧 | 档案
    （002534）华安稳固收益债券A | 基金吧 | 档案
    （002535）中银鑫利混合A | 基金吧 | 档案
    （002536）中银鑫利混合C | 基金吧 | 档案
    （002537）平安大华安盈保本混合 | 基金吧 | 档案
    （002538）招商丰嘉混合A | 基金吧 | 档案
    （002539）招商丰嘉混合C | 基金吧 | 档案
    （002540）招商丰和混合A | 基金吧 | 档案
    （002541）招商丰和混合C | 基金吧 | 档案
    （002542）长城久鼎保本混合 | 基金吧 | 档案
    （002543）长城久益保本A | 基金吧 | 档案
    （002544）长城久益保本C | 基金吧 | 档案
    （002545）东方岳灵活配置混合 | 基金吧 | 档案
    （002546）泰康薪意保货币E | 基金吧 | 档案
    （002547）民生加银养老服务混合 | 基金吧 | 档案
    （002548）嘉实稳瑞纯债债券 | 基金吧 | 档案
    （002549）嘉实稳祥纯债债券A | 基金吧 | 档案
    （002550）嘉实稳荣债券 | 基金吧 | 档案
    （002551）嘉实稳泰债券 | 基金吧 | 档案
    （002552）华夏恒利定开债 | 基金吧 | 档案
    （002553）博时创业成长混合C | 基金吧 | 档案
    （002554）信达澳银纯债债券 | 基金吧 | 档案
    （002555）博时沪港深优质企业基金C | 基金吧 | 档案
    （002556）博时丝路主题股票C | 基金吧 | 档案
    （002557）博时灵活配置混合C | 基金吧 | 档案
    （002558）博时鑫瑞混合A | 基金吧 | 档案
    （002559）博时鑫瑞混合C | 基金吧 | 档案
    （002560）诺安和鑫保本混合 | 基金吧 | 档案
    （002561）东吴安鑫量化 | 基金吧 | 档案
    （002562）泓德泓益量化混合 | 基金吧 | 档案
    （002563）泓德泓汇混合 | 基金吧 | 档案
    （002564）新沃通盈灵活配置混合 | 基金吧 | 档案
    （002565）创金合信鑫安保本A | 基金吧 | 档案
    （002566）创金合信鑫安保本C | 基金吧 | 档案
    （002567）大成国家安全主题混合 | 基金吧 | 档案
    （002568）博时裕发纯债 | 基金吧 | 档案
    （002569）博时裕弘纯债债券 | 基金吧 | 档案
    （002570）华福长禧定开债 | 基金吧 | 档案
    （002571）长盛同泰债券A | 基金吧 | 档案
    （002572）长盛同泰债券C | 基金吧 | 档案
    （002573）建信安心保本六号混合 | 基金吧 | 档案
    （002574）招商瑞庆混合 | 基金吧 | 档案
    （002575）招商丰睿混合A | 基金吧 | 档案
    （002576）招商丰睿混合C | 基金吧 | 档案
    （002577）南方新兴混合 | 基金吧 | 档案
    （002578）博时裕泉纯债债券 | 基金吧 | 档案
    （002579）融通增利债券 | 基金吧 | 档案
    （002580）泰信鑫选灵活配置混合C | 基金吧 | 档案
    （002581）招商丰凯混合A | 基金吧 | 档案
    （002582）招商丰凯混合C | 基金吧 | 档案
    （002583）泰信行业精选混合C | 基金吧 | 档案
    （002584）富安达长盈保本混合 | 基金吧 | 档案
    （002585）建信安心保本七号混合 | 基金吧 | 档案
    （002586）金鹰添利信用债债券A | 基金吧 | 档案
    （002587）金鹰添利信用债债券C | 基金吧 | 档案
    （002588）博时银智大数据100 | 基金吧 | 档案
    （002589）山西证券保本混合A | 基金吧 | 档案
    （002590）山西证券保本混合C | 基金吧 | 档案
    （002591）中欧信用增利债券(LOF) | 基金吧 | 档案
    （002592）中欧纯债债券(LOF)E | 基金吧 | 档案
    （002593）富国美丽中国混合 | 基金吧 | 档案
    （002594）工银现代服务业混合 | 基金吧 | 档案
    （002595）博时工业4.0主题股票 | 基金吧 | 档案
    （002596）华商保本1号 | 基金吧 | 档案
    （002597）兴业成长动力混合 | 基金吧 | 档案
    （002598）平安大华智能生活混合A | 基金吧 | 档案
    （002599）平安大华智能生活混合C | 基金吧 | 档案
    （002600）易方达裕景添利6个月定开债 | 基金吧 | 档案
    （002601）中银证券保本1号 | 基金吧 | 档案
    （002602）易方达丰惠混合 | 基金吧 | 档案
    （002603）工银瑞丰纯债半年定开债 | 基金吧 | 档案
    （002604）华夏新起点混合 | 基金吧 | 档案
    （002605）融通新消费灵活配置混合 | 基金吧 | 档案
    （002607）融通增裕债券 | 基金吧 | 档案
    （002608）博时泰和债券A | 基金吧 | 档案
    （002609）博时泰和债券C | 基金吧 | 档案
    （002610）博时黄金ETF联接A | 基金吧 | 档案
    （002611）博时黄金ETF联接C | 基金吧 | 档案
    （002612）融通国企改革新机遇灵活配置混合 | 基金吧 | 档案
    （002614）中银颐利混合A | 基金吧 | 档案
    （002615）中银颐利混合C | 基金吧 | 档案
    （002616）中银益利混合A | 基金吧 | 档案
    （002617）中银益利混合C | 基金吧 | 档案
    （002618）中银裕利混合A | 基金吧 | 档案
    （002619）中银裕利混合C | 基金吧 | 档案
